rank,features,n_features,cv_rmse,best_n_estimators,best_max_depth
20,feed_iv + feed_p_ppm + log_feed_ffa_pct,3,0.724139,200,5
21,feed_car_pv + feed_dobi + feed_iv + feed_mi_pct + feed_p_ppm + log_feed_ffa_pct,6,0.724213,300,5
22,feed_car_pv + feed_iv + feed_mi_pct + feed_p_ppm + log_feed_ffa_pct,5,0.724325,300,5
23,feed_car_pv + feed_dobi + feed_iv + log_feed_ffa_pct + log_feed_p_ppm,5,0.7247,200,5
24,feed_car_pv + feed_dobi + feed_iv + feed_p_ppm + log_feed_ffa_pct,5,0.724799,200,5
25,feed_dobi + feed_ffa_pct + feed_iv + log_feed_p_ppm,4,0.724947,200,5
26,feed_dobi + feed_ffa_pct + feed_iv + feed_p_ppm,4,0.725159,200,5
27,feed_dobi + feed_iv + feed_p_ppm + log_feed_ffa_pct,4,0.725572,200,5
28,feed_dobi + feed_iv + log_feed_ffa_pct + log_feed_p_ppm,4,0.726445,200,5
29,feed_car_pv + feed_ffa_pct + feed_iv + log_feed_p_ppm,4,0.726744,200,5
30,feed_car_pv + feed_ffa_pct + feed_iv + feed_p_ppm,4,0.726876,200,5
31,feed_car_pv + feed_iv + log_feed_ffa_pct + log_feed_p_ppm,4,0.72771,200,5
32,feed_car_pv + feed_iv + feed_p_ppm + log_feed_ffa_pct,4,0.727973,200,5
33,feed_car_pv + feed_dobi + feed_ffa_pct + feed_mi_pct + feed_p_ppm,5,0.767551,300,5
34,feed_car_pv + feed_dobi + feed_ffa_pct + feed_mi_pct + log_feed_p_ppm,5,0.767726,300,5
35,feed_car_pv + feed_dobi + feed_mi_pct + log_feed_ffa_pct + log_feed_p_ppm,5,0.768128,300,5
36,feed_car_pv + feed_dobi + feed_mi_pct + feed_p_ppm + log_feed_ffa_pct,5,0.768722,300,5
37,feed_car_pv + feed_dobi + feed_ffa_pct + log_feed_p_ppm,4,0.77098,500,5
38,feed_car_pv + feed_dobi + feed_ffa_pct + feed_p_ppm,4,0.771085,500,5
39,feed_car_pv + feed_mi_pct + log_feed_ffa_pct + log_feed_p_ppm,4,0.771171,300,5
40,feed_car_pv + feed_dobi + log_feed_ffa_pct + log_feed_p_ppm,4,0.771214,500,5
41,feed_car_pv + feed_ffa_pct + feed_mi_pct + log_feed_p_ppm,4,0.771333,200,5
42,feed_car_pv + feed_ffa_pct + feed_mi_pct + feed_p_ppm,4,0.771568,300,5
43,feed_car_pv + feed_dobi + feed_p_ppm + log_feed_ffa_pct,4,0.771608,500,5
44,feed_car_pv + feed_mi_pct + feed_p_ppm + log_feed_ffa_pct,4,0.771795,300,5
45,feed_dobi + feed_ffa_pct + feed_mi_pct + feed_p_ppm,4,0.772447,300,5
46,feed_ffa_pct + feed_iv + feed_mi_pct,3,0.772532,100,5
47,feed_dobi + feed_ffa_pct + feed_mi_pct + log_feed_p_ppm,4,0.772548,300,5
48,feed_dobi + feed_mi_pct + log_feed_ffa_pct + log_feed_p_ppm,4,0.773036,300,5
